,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,Model
106,0.8633333333333333,0.8695759258429985,0.862876254180602,0.7975460122699386,0.5496523444464254,0.3401381656549436,0.24467516224556196,LabelBN
107,0.88,0.8785096950427657,0.8676470588235293,0.8957055214723927,0.5333392761633089,0.3145134594329152,0.18998996733648565,NBSens
108,0.8733333333333333,0.871210424969773,0.8592592592592592,0.8957055214723927,0.5192547691210554,0.4099400046440731,0.2599042280218933,NB
109,1.0,1.0,1.0,1.0,0.6410233553218042,0.19725778432661123,0.1561027488017238,Dataset
110,0.49,0.49106626961198274,0.5590778097982708,0.33112582781456956,0.7764307363166341,0.7361465396738616,0.6268805935028534,FairBN
111,0.82,0.8207031423618827,0.8363636363636364,0.7152317880794702,0.45614191477981814,0.5876178351496985,0.20858283142242529,LabelBN
112,0.88,0.88003911284946,0.8800000000000001,0.8741721854304636,0.5256730254947406,0.390691228408517,0.11825648893371976,NBSens
113,0.86,0.8600382239210631,0.86,0.8543046357615894,0.5256730254947406,0.44269467366858084,0.1609936519773223,NB
114,1.0,1.0,1.0,1.0,0.6051880905687288,0.2562667925255544,0.17811904838060788,Dataset
115,0.49,0.48719487795118044,0.5565217391304348,0.3469387755102041,0.7588368680805656,0.6723832590905454,0.48046603856271863,FairBN
116,0.8533333333333334,0.851140456182473,0.8698224852071006,0.7414965986394558,0.49779911964785917,0.446373919503707,0.19980370950377346,LabelBN
117,0.9233333333333333,0.9235027344271042,0.9240924092409241,0.9319727891156463,0.6065092703748166,0.32952214674888824,0.15727883831233658,NBSens
118,0.9,0.9002267573696145,0.9006622516556291,0.9115646258503401,0.5997065492863812,0.403816728258678,0.2126858235489082,NB
119,1.0,1.0,1.0,1.0,0.6402561024409763,0.2621080797979687,0.18075389617379523,Dataset
120,0.5133333333333333,0.5001782848992691,0.6178010471204188,0.2535211267605634,0.8104657435713001,0.775537631622411,0.6738050482177451,FairBN
121,0.84,0.8352647530754145,0.8588235294117648,0.7464788732394366,0.2947311634598093,0.5209706318204642,0.1673289486793873,LabelBN
122,0.89,0.8902210732750936,0.8945686900958466,0.8943661971830986,0.40343463405862257,0.3614861093214189,0.15365265707122766,NBSens
123,0.8766666666666667,0.8768497058299163,0.8817891373801917,0.8802816901408451,0.40343463405862257,0.398972101113908,0.19556315996484896,NB
124,1.0,1.0,1.0,1.0,0.5202301744290595,0.2324421408714219,0.16452540123797055,Dataset
125,0.5333333333333333,0.5078199374405005,0.6276595744680851,0.32558139534883723,0.9379785947785589,0.8420305811373598,0.6193483987523286,FairBN
126,0.8633333333333333,0.860125118999048,0.880466472303207,0.8372093023255814,0.361246697416148,0.45619987258524797,0.2384620482722115,LabelBN
127,0.8733333333333333,0.8765129878960969,0.8848484848484848,0.8992248062015504,0.3872643410505575,0.40798260588682056,0.13247561019011145,NBSens
128,0.8733333333333333,0.8765129878960969,0.8848484848484848,0.8992248062015504,0.3872643410505575,0.4271904105303348,0.15064730567900686,NB
129,1.0,1.0,1.0,1.0,0.5285925395190543,0.30340222123907923,0.1965703459741026,Dataset
130,0.45666666666666667,0.449685534591195,0.5247813411078717,0.3333333333333333,0.8051468954175741,0.7335529930632176,0.6844462993363891,FairBN
131,0.8833333333333333,0.8770908604308845,0.899135446685879,0.7730496453900709,0.5116227387883907,0.45296791089695165,0.19192824726901359,LabelBN
132,0.89,0.888598956242473,0.8978328173374612,0.8652482269503546,0.56602515667363,0.3735942231624233,0.18248785970051973,NBSens
133,0.8666666666666667,0.8649805968152013,0.8765432098765432,0.8368794326241135,0.5726476732299213,0.4390974611572578,0.23834335409808416,NB
134,1.0,1.0,1.0,1.0,0.5995822036534957,0.2657182954309,0.1673657446148754,Dataset
135,0.5066666666666667,0.4977678571428571,0.5771428571428571,0.36428571428571427,0.9789222873900293,0.7577292695494854,0.7135003768175198,FairBN
136,0.8933333333333333,0.8888392857142857,0.9053254437869822,0.8214285714285714,0.4697580645161291,0.4278547361790125,0.2300011081921569,LabelBN
137,0.9,0.9008928571428572,0.9044585987261146,0.9142857142857143,0.5098973607038123,0.36172647190078455,0.16573251710179449,NBSens
138,0.88,0.8816964285714286,0.8838709677419355,0.9071428571428571,0.4776392961876832,0.4972174867122602,0.24762450468858066,NB
139,1.0,1.0,1.0,1.0,0.5032991202346041,0.34201138115961516,0.19376274648639058,Dataset
